start,finish,total
30-07-2020 21:44:45,30-07-2020 22:46:03,1:01:18
30-07-2020 17:53:54,30-07-2020 18:48:13,0:54:19
30-07-2020 17:11:56,30-07-2020 17:42:07,0:30:11
29-07-2020 15:36:16,29-07-2020 16:37:56,1:01:40
28-07-2020 21:48:21,28-07-2020 22:25:24,0:37:03
28-07-2020 03:28:04,28-07-2020 03:28:06,0:00:02
28-07-2020 00:39:28,28-07-2020 02:03:33,1:24:05
27-07-2020 01:56:48,27-07-2020 01:56:52,0:00:04
26-07-2020 14:19:30,26-07-2020 15:05:07,0:45:37
26-07-2020 00:59:33,26-07-2020 01:59:08,0:59:35
25-07-2020 21:27:44,25-07-2020 21:57:45,0:30:01
25-07-2020 20:15:55,25-07-2020 21:02:12,0:46:17
24-07-2020 00:11:13,24-07-2020 01:03:36,0:52:23
23-07-2020 19:11:58,23-07-2020 20:12:31,1:00:33
22-07-2020 23:26:57,23-07-2020 00:03:30,0:36:33
22-07-2020 18:15:32,22-07-2020 18:51:20,0:35:48
22-07-2020 14:47:33,22-07-2020 17:11:12,2:23:39
